"","x"
"1451","14"
"1452","5"
"1453","13"
"1454","10"
"1455","3"
"1456","4"
"1457","2"
"1458","6"
"1459","8"
"1460","7"
"1461","13"
"1462","0"
"1463","1"
"1464","3"
"1465","6"
"1466","4"
"1467","0"
"1468","17"
"1469","4"
"1470","14"
"1471","2"
"1472","11"
"1473","0"
"1474","0"
"1475","10"
"1476","0"
"1477","4"
"1478","15"
"1479","5"
"1480","7"
"1481","11"
"1482","1"
"1483","11"
"1484","9"
"1485","0"
"1486","9"
"1487","1"
"1488","15"
"1489","11"
"1490","8"
"1491","0"
"1492","1"
"1493","9"
"1494","3"
"1495","7"
"1496","3"
"1497","3"
"1498","14"
"1499","4"
"1500","1"
"1501","0"
"1502","3"
"1503","6"
"1504","3"
"1505","7"
"1506","9"
"1507","3"
"1508","15"
"1509","15"
"1510","3"
"1511","6"
"1512","0"
"1513","0"
"1514","13"
"1515","16"
"1516","10"
"1517","5"
"1518","0"
"1519","8"
"1520","0"
"1521","1"
"1522","3"
"1523","14"
"1524","10"
"1525","11"
"1526","5"
"1527","10"
"1528","0"
"1529","1"
"1530","3"
"1531","8"
"1532","6"
"1533","3"
"1534","5"
"1535","5"
"1536","13"
"1537","0"
"1538","8"
"1539","0"
"1540","8"
"1541","4"
"1542","2"
"1543","1"
"1544","0"
"1545","12"
"1546","6"
"1547","1"
"1548","2"
"1549","7"
"1550","2"
"1551","6"
"1552","9"
"1553","0"
"1554","8"
"1555","9"
"1556","13"
"1557","1"
"1558","8"
"1559","4"
"1560","5"
"1561","0"
"1562","0"
"1563","0"
"1564","8"
"1565","1"
"1566","1"
"1567","1"
"1568","11"
"1569","0"
"1570","0"
"1571","2"
"1572","5"
"1573","7"
"1574","0"
"1575","15"
"1576","0"
"1577","5"
"1578","2"
"1579","0"
"1580","1"
"1581","2"
"1582","0"
"1583","0"
"1584","0"
"1585","0"
"1586","8"
"1587","5"
"1588","8"
"1589","6"
"1590","0"
"1591","0"
"1592","5"
"1593","3"
"1594","1"
"1595","12"
"1596","12"
"1597","1"
"1598","9"
"1599","8"
"1600","1"
"1601","2"
"1602","0"
"1603","6"
"1604","12"
"1605","1"
"1606","9"
"1607","0"
"1608","0"
"1609","0"
"1610","10"
"1611","11"
"1612","9"
"1613","1"
"1614","0"
"1615","5"
"1616","1"
"1617","4"
"1618","2"
"1619","3"
"1620","0"
"1621","6"
"1622","0"
"1623","14"
"1624","1"
"1625","4"
"1626","3"
"1627","4"
"1628","0"
"1629","10"
"1630","7"
"1631","2"
"1632","5"
"1633","0"
"1634","9"
"1635","1"
"1636","0"
"1637","2"
"1638","11"
"1639","4"
"1640","3"
"1641","4"
"1642","1"
"1643","10"
"1644","1"
"1645","8"
"1646","3"
"1647","0"
"1648","1"
"1649","0"
"1650","2"
"1651","2"
"1652","2"
"1653","2"
"1654","0"
"1655","3"
"1656","0"
"1657","2"
"1658","0"
"1659","3"
"1660","1"
"1661","4"
"1662","1"
"1663","13"
"1664","0"
"1665","1"
"1666","14"
"1667","13"
"1668","1"
